label,attribute_name,attribute_value,attribute_count
flatbed_trailer_truck,door_open,false,100
car,vehicle_status,moving,733
truck,occlusion,partially_occluded,88
flatbed_trailer_truck,leading_obstacle,not_lead,100
flatbed_trailer_truck,occlusion,no_occlusion,50
flatbed_trailer_truck,isolated,hard,50
car,isolated,hard,1154
van,vehicle_direction,[u'head'- u'side_right'],2
pickup,shoulder_vehicle,false,162
driver,occlusion,no_occlusion,2
car,vehicle_direction,[u'back'],371
car,occlusion,barely_see,802
pedestrian,isolated,no,200
car,emergency_vehicles,none,1824
van,truncated,false,100
truck,lane_status,none,145
car,leading_obstacle,not_lead,1824
trailer,lane_status,none,50
pickup,door_open,false,162
car,is_empty,false,265
suv,isolated,no,265
truck,emergency_vehicles,none,207
van,occlusion,mostly_occluded,50
flatbed_trailer_truck,vehicle_direction,[u'head'],50
van,clear,unclear,55
flatbed_trailer_truck,is_empty,false,50
flatbed_trailer_truck,vehicle_direction,[u'side_left'],50
truck,door_open,false,207
truck,abnormal_trailer,false,207
truck,transporter,false,207
trailer,has_rider,false,59
truck,is_empty,false,195
flatbed_trailer_truck,lane_status,none,50
van,isolated,hard,50
van,occlusion,no_occlusion,1
flatbed_trailer_truck,vehicle_status,moving,50
van,vehicle_direction,[u'side_right'- u'head'],17
driver,clear,clear,17
pickup,towing,false,115
suv,leading_obstacle,not_lead,465
truck,isolated,no,207
suv,clear,unclear,52
trailer,abnormal_trailer,false,59
trailer,vehicle_direction,[u'head'],3
pickup,vehicle_direction,[u'head'],2
truck,vehicle_status,moving,207
car,truncated,true,97
pickup,vehicle_direction,[u'side_right'],31
truck,has_rider,true,52
car,lane_status,none,267
truck,occlusion,no_occlusion,258
car,has_rider,false,1819
trailer,shoulder_vehicle,false,59
car,has_rider,true,5
pedestrian,occlusion,partially_occluded,85
pickup,vehicle_direction,[u'side_right'- u'back'],18
pickup,vehicle_status,moving,162
truck,occlusion,mostly_occluded,55
trailer,trailer_linking,dbd769e9-c6d0-4bbf-be1c-5cf52114863f,96
flatbed_trailer_truck,truncated,true,50
trailer,truncated,true,28
van,vehicle_status,parked,50
van,vehicle_status,moving,50
trailer,vehicle_status,moving,59
van,occlusion,partially_occluded,49
pedestrian,occlusion,mostly_occluded,15
suv,clear,clear,413
truck,towing,false,207
car,vehicle_direction,[u'side_left'],434
suv,occlusion,partially_occluded,209
trailer,vehicle_direction,[u'side_right'],30
trailer,leading_obstacle,not_lead,59
driver,occlusion,partially_occluded,4
driver,isolated,no,17
pickup,has_rider,false,155
truck,shoulder_vehicle,false,207
car,vehicle_direction,[u'side_left'- u'head'],1
pickup,truncated,true,86
van,has_rider,false,100
suv,truncated,false,465
trailer,vehicle_direction,[u'side_right'- u'head'],11
truck,lane_status,ego_lane,50
suv,is_empty,false,50
suv,occlusion,no_occlusion,57
truck,leading_obstacle,not_lead,207
car,occlusion,partially_occluded,664
flatbed_trailer_truck,clear,clear,100
pedestrian,occlusion,barely_see,2
pickup,abnormal_trailer,false,162
suv,has_rider,false,465
pickup,isolated,no,162
car,door_open,false,1824
pickup,leading_obstacle,not_lead,162
pickup,emergency_vehicles,none,162
pickup,vehicle_direction,[u'head'- u'side_right'],60
truck,vehicle_direction,[u'side_right'- u'back'],25
truck,truncated,false,135
pickup,occlusion,partially_occluded,99
car,occlusion,no_occlusion,224
pickup,is_empty,false,193
pickup,clear,clear,162
van,vehicle_direction,[u'side_left'],50
face,clear,clear,4
trailer,occlusion,partially_occluded,30
suv,occlusion,barely_see,23
van,leading_obstacle,not_lead,100
pickup,occlusion,no_occlusion,230
trailer,is_empty,false,50
suv,shoulder_vehicle,false,465
car,vehicle_direction,[u'top'],384
car,towing,false,1824
suv,vehicle_status,moving,265
pedestrian,occlusion,no_occlusion,136
driver,occlusion,mostly_occluded,11
suv,vehicle_direction,[u'head'],51
pickup,occlusion,barely_see,9
face,occlusion,partially_occluded,2
car,vehicle_status,parked,1091
car,vehicle_direction,[u'head'],214
suv,vehicle_direction,[u'side_right'- u'head'],9
pedestrian,lane_status,none,38
pedestrian,clear,clear,200
suv,abnormal_trailer,false,465
van,isolated,no,50
car,occlusion,mostly_occluded,401
suv,vehicle_direction,[u'head'- u'side_left'],142
car,abnormal_trailer,false,1824
truck,truncated,true,72
pickup,vehicle_direction,[u'side_left'],38
car,clear,unclear,817
trailer,occlusion,mostly_occluded,8
car,is_empty,true,2
pickup,lane_status,none,143
suv,lane_status,none,50
truck,has_rider,false,155
suv,isolated,hard,200
pickup,truncated,false,76
pickup,vehicle_direction,[u'top'],10
car,vehicle_direction,[u'side_right'],247
driver,truncated,false,17
pedestrian,is_empty,false,38
car,vehicle_direction,[u'head'- u'side_left'],129
pickup,towing,true,47
flatbed_trailer_truck,occlusion,partially_occluded,100
flatbed_trailer_truck,shoulder_vehicle,false,100
car,clear,clear,1007
car,shoulder_vehicle,false,1824
pickup,lane_status,ego_lane,50
trailer,occlusion,no_occlusion,71
suv,vehicle_status,parked,200
car,truncated,false,1727
face,isolated,no,6
trailer,clear,clear,59
flatbed_trailer_truck,abnormal_trailer,false,100
car,vehicle_direction,[u'back'- u'side_left'],20
suv,vehicle_direction,[u'top'],53
truck,vehicle_direction,[u'head'- u'side_right'],50
pickup,occlusion,mostly_occluded,17
truck,occlusion,barely_see,1
flatbed_trailer_truck,truncated,false,50
trailer,isolated,no,59
suv,occlusion,mostly_occluded,226
suv,towing,false,465
truck,vehicle_direction,[u'side_right'],68
trailer,trailer_linking,NA,13
van,emergency_vehicles,none,100
van,shoulder_vehicle,false,100
face,clear,unclear,2
flatbed_trailer_truck,towing,false,100
face,occlusion,no_occlusion,4
van,door_open,false,100
car,vehicle_direction,[u'head'- u'side_right'],6
van,clear,clear,45
car,vehicle_direction,[u'side_left'- u'back'],16
flatbed_trailer_truck,has_rider,false,100
pedestrian,truncated,false,200
suv,vehicle_direction,[u'side_right'],159
pickup,has_rider,true,7
van,vehicle_direction,[u'side_right'],6
face,truncated,false,6
trailer,truncated,false,31
truck,vehicle_direction,[u'back'],64
flatbed_trailer_truck,isolated,no,50
truck,clear,clear,207
flatbed_trailer_truck,vehicle_status,parked,50
car,isolated,no,670
pickup,vehicle_direction,[u'back'],3
van,vehicle_direction,[u'head'],25
suv,vehicle_direction,[u'side_left'],51
trailer,vehicle_direction,[u'back'],3
car,vehicle_direction,[u'back'- u'side_right'],2
trailer,vehicle_direction,[u'side_right'- u'back'],12
suv,emergency_vehicles,none,465
suv,door_open,false,465
